var,lambda,log_lambda,coef
SPFH2m,0.017954057508803488,-4.0199391445334935,0.0
SPFH2m,0.01925154736877831,-3.950163838685189,0.0
SPFH2m,0.020642803216520064,-3.880388532836885,0.0
SPFH2m,0.022134601259483733,-3.8106132269885804,0.0
SPFH2m,0.02373420740281282,-3.740837921140276,0.0
SPFH2m,0.02544941263843095,-3.6710626152919716,0.0
SPFH2m,0.027288570991604765,-3.6012873094436673,0.0
SPFH2m,0.02926064020979953,-3.531512003595363,0.0
SPFH2m,0.03137522539200532,-3.461736697747058,0.0
SPFH2m,0.033642625771033295,-3.3919613918987537,0.0
SPFH2m,0.036073884876638776,-3.3221860860504493,0.0
SPFH2m,0.03868084432379367,-3.252410780202145,0.0
SPFH2m,0.04147620148808802,-3.1826354743538405,0.0
SPFH2m,0.04447357134917257,-3.112860168505536,0.0
SPFH2m,0.04768755280345517,-3.0430848626572318,0.0
SPFH2m,0.05113379976903147,-2.973309556808928,0.0
SPFH2m,0.05482909742917148,-2.903534250960623,0.0
SPFH2m,0.05879144398571109,-2.833758945112318,0.0
SPFH2m,0.06304013832053394,-2.7639836392640142,0.0
SPFH2m,0.06759587399210545,-2.69420833341571,0.0
SPFH2m,0.07248084002487477,-2.624433027567405,0.0
SPFH2m,0.07771882898244711,-2.554657721719101,0.0
SPFH2m,0.08333535285090395,-2.4848824158707967,0.0
SPFH2m,0.08935776729668884,-2.4151071100224923,0.003371812654749026
SPFH2m,0.0958154049042655,-2.3453318041741875,0.0019186076882044406
SPFH2m,0.10273971804249106,-2.275556498325883,0.0
SPFH2m,0.11016443205554577,-2.2057811924775788,0.0
SPFH2m,0.11812570952454506,-2.1360058866292744,0.0
SPFH2m,0.12666232639988229,-2.06623058078097,0.0
SPFH2m,0.1358158608621666,-1.9964552749326656,0.0
SPFH2m,0.14563089583161595,-1.9266799690843612,0.0
SPFH2m,0.1561552361122416,-1.8569046632360569,0.0
SPFH2m,0.1674401412284394,-1.7871293573877525,0.0
SPFH2m,0.1795405750880349,-1.717354051539448,0.0
SPFH2m,0.192515473687783,-1.647578745691144,0.0
SPFH2m,0.20642803216520053,-1.5778034398428396,0.0
SPFH2m,0.22134601259483722,-1.5080281339945352,0.0
SPFH2m,0.23734207402812835,-1.4382528281462297,0.0
SPFH2m,0.2544941263843096,-1.3684775222979255,0.0
SPFH2m,0.27288570991604777,-1.2987022164496211,0.0
SPFH2m,0.29260640209799543,-1.2289269106013168,0.0
SPFH2m,0.3137522539200532,-1.1591516047530124,0.0
SPFH2m,0.33642625771033297,-1.089376298904708,0.0
SPFH2m,0.3607388487663878,-1.0196009930564036,0.0
SPFH2m,0.3868084432379367,-0.9498256872080992,0.0
SPFH2m,0.41476201488088016,-0.880050381359795,0.0
SPFH2m,0.4447357134917257,-0.8102750755114906,0.0
SPFH2m,0.4768755280345517,-0.7404997696631863,0.0
SPFH2m,0.5113379976903147,-0.6707244638148819,0.0
SPFH2m,0.5482909742917148,-0.6009491579665776,0.0
